timestamp_ms,emg_quad,ecg_isquio,angulo_relativo
11645,0,1301,149.92
11691,0,1824,150.63
11691,0,2288,151.2
11691,0,1447,151.76
11692,0,1830,152.27
11738,0,2114,152.62
11738,0,1446,152.87
11738,0,1719,152.99
11739,0,2335,153.01
11740,0,1527,152.96
11785,0,1726,152.84
11785,0,2447,152.49
11785,0,1568,151.87
11786,0,1523,150.98
11831,0,2256,149.94
11832,0,1648,148.63
11832,0,1669,146.93
11832,0,2391,144.83
11879,0,1682,142.53
11879,0,1429,140.05
11879,0,2256,137.4
11880,0,1690,134.71
11925,0,1391,131.82
11926,0,2230,128.87
11926,0,1799,125.83
11926,0,1468,122.7
11971,0,2234,119.61
11971,0,1826,116.48
11972,0,1360,113.53
11972,0,2174,110.64
12018,0,1843,107.71
12018,0,1291,104.71
12019,0,1971,101.61
12019,0,1840,98.47
12065,0,1298,95.45
12065,0,2063,92.64
12066,0,1904,89.91
12066,0,1247,87.29
12066,0,1897,84.7
12110,0,1968,82.17
12111,0,1356,79.72
12111,0,2152,77.35
12111,0,2103,75.02
12157,0,1221,72.75
12158,0,1921,70.66
12158,0,2122,68.57
12158,0,1264,66.54
12203,0,1923,64.58
12203,0,2063,62.73
12204,0,1263,60.86
12204,0,1904,59.02
12251,0,2338,57.3
12251,0,1253,55.67
12251,0,1650,54.07
12252,0,2269,52.52
12298,0,1258,51.03
12298,0,1655,49.62
12299,0,2255,48.26
12299,0,1393,46.95
12345,0,1803,45.71
12345,0,2512,44.49
12345,0,1535,43.33
12346,0,1883,42.22
12346,0,2619,41.2
12391,0,1610,40.23
12391,0,1632,39.32
12392,0,2358,38.45
12392,0,1535,37.62
12438,0,1489,36.85
12438,0,2199,36.11
12439,0,1395,35.42
12439,0,1261,34.79
12484,0,2177,34.17
12484,0,1525,33.63
12485,0,1513,33.12
12485,0,2407,32.63
12532,0,1712,32.18
12533,0,1347,31.79
12533,0,2225,31.48
12533,0,1828,31.23
12578,0,1397,31.03
12578,0,2191,30.84
12578,0,1762,30.69
12579,0,1199,30.55
12624,0,1968,30.49
12624,0,1743,30.47
12624,0,1175,30.52
12625,0,2047,30.64
12626,0,1856,30.84
12671,0,1125,31.1
12671,0,1873,31.47
12672,0,1828,31.97
12672,0,1084,32.63
12717,0,1864,33.37
12718,0,1914,34.3
12718,0,1202,35.39
12718,0,1968,36.67
12765,0,2098,38.17
12765,0,1280,39.92
12766,0,1904,42.03
12766,0,2159,44.53
12812,0,1257,47.34
12812,0,1826,50.34
12812,0,2141,53.65
12813,0,1326,57.29
12860,0,1694,61.1
12860,0,2160,64.79
12860,0,1328,68.37
12860,0,1711,71.98
12905,0,2270,75.62
12906,0,1362,79.22
12906,0,1741,82.77
12906,0,2334,86.13
12907,0,1434,89.43
12952,0,1555,92.59
12952,0,2177,95.73
12952,0,1361,98.9
12953,0,1649,101.85
13000,0,2587,104.53
13001,0,1603,107.15
13001,0,1459,109.65
13001,0,2272,112.05
13047,0,1693,114.36
13048,0,1702,116.54
13048,0,2534,118.65
13048,0,1915,120.65
13093,0,1487,122.48
13093,0,2311,124.15
13094,0,1754,125.66
13094,0,1374,127.05
13140,0,2897,128.34
13140,0,2397,129.4
13141,0,1919,130.27
13141,0,2731,130.79
13143,0,2180,131.01
13187,0,1562,130.89
13188,0,2359,130.5
13188,0,2172,129.87
13188,0,1498,128.88
13234,0,2257,127.52
13235,0,2078,125.66
13235,0,1397,123.27
13235,0,2160,120.76
13281,0,2109,118.06
13283,0,1463,115.43
13283,0,2160,112.58
13284,0,2272,109.67
13327,0,1475,106.82
13327,0,2045,104.28
13328,0,2259,101.47
13329,0,1386,98.76
13373,0,1829,96.02
13373,0,2128,93.28
13374,0,1328,90.54
13374,0,1762,87.99
13420,0,2202,85.46
13420,0,1478,82.92
13420,0,1758,80.45
13421,0,2283,78.03
13466,0,1363,75.72
13466,0,1697,73.45
13466,0,2319,71.28
13467,0,1360,69.16
13468,0,1600,67.07
13511,0,2239,65.16
13511,0,1328,63.35
13512,0,1651,61.65
13512,0,3167,59.89
13559,0,1564,58.12
13559,0,784,56.34
13559,0,2185,54.53
13560,0,1182,52.66
13605,0,1223,50.94
13605,0,2471,49.31
13605,0,1322,47.8
13606,0,999,46.38
13652,0,2106,45.03
13652,0,1470,43.74
13652,0,1500,42.5
13653,0,2726,41.28
13697,0,1948,40.13
13699,0,1476,39.04
13699,0,2453,37.97
13699,0,1653,36.89
13745,0,1048,35.9
13745,0,2278,35.06
13746,0,1227,34.06
13746,0,790,33.17
13749,0,2117,32.33
13792,0,1529,31.51
13793,0,1037,30.73
13793,6,2320,29.98
13793,0,1967,29.26
13838,0,1088,28.57
13838,0,2255,27.91
13838,0,2201,27.27
13839,0,1089,26.65
13884,0,1945,26.06
13884,0,1863,25.49
13884,0,971,24.94
13885,0,1939,24.42
13932,0,2075,23.92
13932,0,1127,23.43
13932,0,2075,22.96
13932,0,2337,22.51
13978,0,1170,22.09
13978,0,1987,21.68
13979,0,2321,21.28
13979,0,1209,20.9
14026,0,1783,20.54
